subjects,train,test
SC4001E0,0.632986627,0.541666667
SC4091E0,1,0.730088496
SC4101E0,1,0.781818182
SC4111E0,1,0.843243243
SC4121E0,1,0.8
SC4131E0,1,0.824390244
SC4141E0,1,0.86
SC4151E0,1,0.768421053
SC4161E0,1,0.815789474
SC4171E0,0.955112219,0.625
SC4181E0,1,0.828125
SC4011E0,1,0.836363636
SC4191E0,1,0.836601307
SC4201E0,1,0.87254902
SC4211E0,1,0.828571429
SC4221E0,1,0.735159817
SC4231E0,1,0.65
SC4241E0,0.945481703,0.844311377
SC4251E0,1,0.81443299
SC4261F0,1,0.664576803
SC4271F0,1,0.804761905
SC4281G0,1,0.755555556
SC4021E0,1,0.838235294
SC4291G0,1,0.827433628
SC4301E0,1,0.605405405
SC4311E0,1,0.766666667
SC4321E0,0.416333066,0.405144695
SC4331F0,0.804765056,0.734748011
SC4341F0,1,0.693333333
SC4351F0,1,0.784615385
SC4371F0,0.783673469,0.726775956
SC4381F0,0.973258269,0.867605634
SC4401E0,0.768779343,0.716981132
SC4031E0,0.990813648,0.863157895
SC4411E0,1,0.781395349
SC4421E0,1,0.756410256
SC4431E0,0.467857143,0.496402878
SC4441E0,1,0.722689076
SC4451F0,1,0.784232365
SC4461F0,0.505717916,0.43877551
SC4471F0,1,0.784810127
SC4481F0,0.886559803,0.809876543
SC4491G0,1,0.8
SC4501E0,0.411875589,0.38490566
SC4041E0,0.992922144,0.642276423
SC4511E0,1,0.649769585
SC4531E0,1,0.684931507
SC4541F0,0.908230153,0.813411079
SC4551F0,1,0.770334928
SC4561F0,1,0.619433198
SC4571F0,1,0.546558704
SC4581G0,0.781071836,0.747706422
SC4591G0,0.693143245,0.716621253
SC4601E0,1,0.776951673
SC4611E0,1,0.739393939
SC4051E0,1,0.805970149
SC4621E0,0.999135696,0.607638889
SC4631E0,1,0.721698113
SC4641E0,0.495575221,0.503937008
SC4651E0,1,0.897727273
SC4661E0,1,0.814814815
SC4671G0,1,0.788804071
SC4701E0,0.622998544,0.548104956
SC4711E0,0.617152962,0.59929078
SC4721E0,0.99030303,0.567961165
SC4731E0,1,0.876172608
SC4061E0,0.983703704,0.880952381
SC4741E0,1,0.827664399
SC4751E0,0.696210269,0.708333333
SC4761E0,1,0.898809524
SC4771G0,0.344957587,0.359848485
SC4801G0,0.484390735,0.459677419
SC4811G0,1,0.810077519
SC4071E0,1,0.820512821
SC4081E0,1,0.809734513
Avg,0.908706786,0.728881946
Median,1,0.770334928
Std,0.178658142,0.129399718
